任务类别,原始类别,论文题目,作者,日期,发表/场所,模型架构(推断),方法要点(推断),链接,效果摘要
生成,Image Generation,Ambient Denoising Diffusion Generative Adversarial Networks for Establishing Stochastic Object Models from Noisy Image Data,"Xichen Xu, Wentao Chen, Weimin Zhou","31th Jan., 2025","arXiv, 2025","DDPM类, 扩散ODE",去噪,Paper:http://arxiv.org/abs/2501.19094v2,（README未提供，详见论文）
生成,Image Generation,Addressing Small and Imbalanced Medical Image Datasets Using Generative Models: A Comparative Study of DDPM and PGGANs with Random and Greedy K Sampling,"Iman Khazrak, Shakhnoza Takhirova, Mostafa M. Rezaee, Mehrdad Yadollahi, Robert C. Green II, Shuteng Niu","17th Dec., 2024","arXiv, 2024","DDPM类, GAN",未归纳,Paper:http://arxiv.org/abs/2412.12532v1,（README未提供，详见论文）
生成,Image Generation,3D MedDiffusion: A 3D Medical Diffusion Model for Controllable and High-quality Medical Image Generation,"Haoshen Wang, Zhentao Liu, Kaicong Sun, Xiaodong Wang, Dinggang Shen, Zhiming Cui","17th Dec., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2412.13059v1,（README未提供，详见论文）
生成,Image Generation,MRGen: Segmentation Data Engine for Underrepresented MRI Modalities,"Haoning Wu, Ziheng Zhao, Ya Zhang, Yanfeng Wang, Weidi Xie","04th Dec., 2024","ICCV, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2412.04106v3 | GitHub:https://github.com/haoningwu3639/MRGen/ | Project Page:https://haoningwu3639.github.io/MRGen/,（README未提供，详见论文）
生成,Image Generation,Volumetric Conditioning Module to Control Pretrained Diffusion Models for 3D Medical Images,"Suhyun Ahn, Wonjung Park, Jihoon Cho, Seunghyuck Park, Jinah Park","29th Oct., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2410.21826v1 | GitHub:https://github.com/Ahn-Ssu/VCM,（README未提供，详见论文）
生成,Image Generation,Evaluating and Improving the Effectiveness of Synthetic Chest X-Rays for Medical Image Analysis,"Eva Prakash, Jeya Maria Jose Valanarasu, Zhihong Chen, Eduardo Pontes Reis, Andrew Johnston, Anuj Pareek, Christian Bluethgen, Sergios Gatidis, Cameron Olsen, Akshay Chaudhari, Andrew Ng, Curtis Langlotz","27th Nov., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2411.18602v1,（README未提供，详见论文）
生成,Image Generation,cWDM: Conditional Wavelet Diffusion Models for Cross-Modality 3D Medical Image Synthesis,"Paul Friedrich, Alicia Durrer, Julia Wolleb, Philippe C. Cattin","26th Nov., 2024","BraTS, 2024","条件扩散, 扩散ODE",未归纳,Paper:http://arxiv.org/abs/2411.17203v1 | GitHub:https://github.com/pfriedri/cwdm,（README未提供，详见论文）
生成,Image Generation,Counterfactual MRI Data Augmentation using Conditional Denoising Diffusion Generative Models,"Pedro Morão, Joao Santinha, Yasna Forghani, Nuno Loução, Pedro Gouveia, Mario A. T. Figueiredo","31th Oct., 2024","arXiv, 2024","DDPM类, 条件扩散, 扩散ODE",伪健康/反事实重建以显著化异常,Paper:http://arxiv.org/abs/2410.23835v1 | GitHub:https://github.com/pedromorao/Counterfactual-MRI-Data-Augmentation,（README未提供，详见论文）
生成,Image Generation,Deep Generative Models for 3D Medical Image Synthesis,"Paul Friedrich, Yannik Frisch, Philippe C. Cattin","23th Oct., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2410.17664v1,（README未提供，详见论文）
生成,Image Generation,Synthetic Augmentation for Anatomical Landmark Localization using DDPMs,"Arnela Hadzic, Lea Bogensperger, Simon Johannes Joham, Martin Urschler","16th Oct., 2024","SASHIMI, 2024",DDPM类,未归纳,Paper:http://arxiv.org/abs/2410.12489v2,（README未提供，详见论文）
生成,Image Generation,Evaluating Utility of Memory Efficient Medical Image Generation: A Study on Lung Nodule Segmentation,"Kathrin Khadra, Utku Türkbey","16th Oct., 2024","arXiv, 2024",通用/未明确,分割,Paper:http://arxiv.org/abs/2410.12542v1,（README未提供，详见论文）
生成,Image Generation,Multiscale Latent Diffusion Model for Enhanced Feature Extraction from Medical Images,"Rabeya Tus Sadia, Jie Zhang, Jin Chen","05th Oct., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:http://arxiv.org/abs/2410.04000v3,（README未提供，详见论文）
生成,Image Generation,Devil is in Details: Locality-Aware 3D Abdominal CT Volume Generation for Self-Supervised Organ Segmentation,"Yuran Wang, Zhijing Wan, Yansheng Qiu, Zheng Wang","30th Sep., 2024","arXiv, 2024",GAN,分割,Paper:http://arxiv.org/abs/2409.20332v2,（README未提供，详见论文）
生成,Image Generation,Ctrl-GenAug: Controllable Generative Augmentation for Medical Sequence Classification,"Xinrui Zhou, Yuhao Huang, Haoran Dou, Shijing Chen, Ao Chang, Jia Liu, Weiran Long, Jian Zheng, Erjiao Xu, Jie Ren, Ruobing Huang, Jun Cheng, Wufeng Xue, Dong Ni","25th Sep., 2024","arXiv, 2024",通用/未明确,分类,Paper:https://arxiv.org/abs/2409.17091,（README未提供，详见论文）
生成,Image Generation,Physics-Informed Latent Diffusion for Multimodal Brain MRI Synthesis,"Sven Lüpke, Yousef Yeganeh, Ehsan Adeli, Nassir Navab, Azade Farshad","20th Sep., 2024","arXiv, 2024",潜空间/Latent Diffusion,未归纳,Paper:https://arxiv.org/abs/2409.13532,（README未提供，详见论文）
生成,Image Generation,MAISI: Medical AI for Synthetic Imaging,"Pengfei Guo, Can Zhao, Dong Yang, Ziyue Xu, Vishwesh Nath, Yucheng Tang, Benjamin Simon, Mason Belue, Stephanie Harmon, Baris Turkbey, Daguang Xu","13th Sep., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2409.11169,（README未提供，详见论文）
生成,Image Generation,Towards Predicting Temporal Changes in a Patient's Chest X-ray Images based on Electronic Health Records,"Daeun Kyung, Junu Kim, Tackeun Kim, Edward Choi","11th Sep., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2409.07012,（README未提供，详见论文）
生成,Image Generation,Exploring Foundation Models for Synthetic Medical Imaging: A Study on Chest X-Rays and Fine-Tuning Techniques,"Davide Clode da Silva, Marina Musse Bernardes, Nathalia Giacomini Ceretta, Gabriel Vaz de Souza, Gabriel Fonseca Silva, Rafael Heitor Bordini, Soraia Raupp Musse","6th Sep., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2409.04424,（README未提供，详见论文）
生成,Image Generation,Multi-Conditioned Denoising Diffusion Probabilistic Model (mDDPM) for Medical Image Synthesis,"Arjun Krishna, Ge Wang, Klaus Mueller","6th Sep., 2024","arXiv, 2024","DDPM类, 条件扩散, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2409.04670,（README未提供，详见论文）
生成,Image Generation,LPUWF-LDM: Enhanced Latent Diffusion Model for Precise Late-phase UWF-FA Generation on Limited Dataset,"Zhaojie Fang, Xiao Yu, Guanyu Zhou, Ke Zhuang, Yifei Chen, Ruiquan Ge, Changmiao Wang, Gangyong Jia, Qing Wu, Juan Ye, Maimaiti Nuliqiman, Peifang Xu, Ahmed Elazab","1st Sep., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2409.00726 | GitHub:https://github.com/Tinysqua/LPUWF-LDM,（README未提供，详见论文）
生成,Image Generation,Training-Free Condition Video Diffusion Models for single frame Spatial-Semantic Echocardiogram Synthesis,"Van Phi Nguyen, Tri Nhan Luong Ha, Huy Hieu Pham, Quoc Long Tran","6th Aug., 2024","MICCAI, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2408.03035 | GitHub:https://github.com/gungui98/echo-free,（README未提供，详见论文）
生成,Image Generation,Mpox Detection Advanced: Rapid Epidemic Response Through Synthetic Data,"Yudara Kularathne, Prathapa Janitha, Sithira Ambepitiya, Prarththanan Sothyrajah, Thanveer Ahamed, Dinuka Wijesundara","25th Jul., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.17762,（README未提供，详见论文）
生成,Image Generation,URCDM: Ultra-Resolution Image Synthesis in Histopathology,"Sarah Cechnicka, James Ball, Matthew Baugh, Hadrien Reynaud, Naomi Simmonds, Andrew P. T. Smith, Catherine Horsfield, Candice Roufosse, Bernhard Kainz","18th Jul., 2024","MICCAI, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.13277 | GitHub:https://github.com/scechnicka/URCDM,（README未提供，详见论文）
生成,Image Generation,CATD: Unified Representation Learning for EEG-to-fMRI Cross-Modal Generation,"Weiheng Yao, Shuqiang Wang","16th Jul., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2408.00777,（README未提供，详见论文）
生成,Image Generation,Bora: Biomedical Generalist Video Generation Model,"Weixiang Sun, Xiaocao You, Ruizhe Zheng, Zhengqing Yuan, Xiang Li, Lifang He, Quanzheng Li, Lichao Sun","11th Jul., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.08944 | GitHub:https://weixiang-sun.github.io/Bora/,（README未提供，详见论文）
生成,Image Generation,Data Augmentation with Diffusion Models for Colon Polyp Localization on the Low Data Regime: How much real data is enough?,"Adrian Tormos, Blanca Llauradó, Fernando Núñez, Axel Romero, Dario Garcia-Gasulla, Javier Béjar","28th Nov., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2411.18926,（README未提供，详见论文）
生成,Image Generation,Enhancing Spatiotemporal Disease Progression Models via Latent Diffusion and Prior Knowledge,"Lemuel Puglisi, Daniel C. Alexander, Daniele Ravì","22th Aug., 2024","MICCAI, 2024","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2405.03328 | GitHub:https://github.com/LemuelPuglisi/BrLP,（README未提供，详见论文）
生成,Image Generation,SeLoRA: Self-Expanding Low-Rank Adaptation of Latent Diffusion Model for Medical Image Synthesis,"Yuchen Mao, Hongwei Li, Wei Pang, Giorgos Papanastasiou, Guang Yang, Chengjia Wang","13th Aug., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2408.07196,（README未提供，详见论文）
生成,Image Generation,Temporal Evolution of Knee Osteoarthritis: A Diffusion-based Morphing Model for X-ray Medical Image Synthesis,"Zhe Wang, Aladine Chetouani, Rachid Jennane, Yuhua Ru, Wasim Issa, Mohamed Jarraya","1st Aug., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2408.00891,（README未提供，详见论文）
生成,Image Generation,On Differentially Private 3D Medical Image Synthesis with Controllable Latent Diffusion Models,"Deniz Daum, Richard Osuala, Anneliese Riess, Georgios Kaissis, Julia A. Schnabel, Maxime Di Folco","23rd Jul., 2024","MICCAI, 2024","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2407.16405 | GitHub:https://github.com/compai-lab/2024-miccai-dgm-daum,（README未提供，详见论文）
生成,Image Generation,Non-Reference Quality Assessment for Medical Imaging: Application to Synthetic Brain MRIs,"Karl Van Eeden Risager, Torkan Gholamalizadeh, Mostafa Mehdipour Ghazi","20th Jul., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.14994,（README未提供，详见论文）
生成,Image Generation,DiNO-Diffusion. Scaling Medical Diffusion via Self-Supervised Pre-Training,"Guillermo Jimenez-Perez, Pedro Osorio, Josef Cersovsky, Javier Montalt-Tordera, Jens Hooge, Steffen Vogler, Sadegh Mohammadi","16th Jul., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.11594,（README未提供，详见论文）
生成,Image Generation,Deformation-Recovery Diffusion Model (DRDM): Instance Deformation for Image Manipulation and Synthesis,"Jian-Qing Zheng, Yuanhan Mo, Yang Sun, Jiahua Li, Fuping Wu, Ziyang Wang, Tonia Vincent, Bartłomiej W. Papież","9th Jul., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2407.07295 | GitHub:https://jianqingzheng.github.io/def_diff_rec/,（README未提供，详见论文）
生成,Image Generation,RadiomicsFill-Mammo: Synthetic Mammogram Mass Manipulation with Radiomics Features,"Inye Na, Jonghun Kim, Eun Sook Ko, Hyunjin Park","8th, Jul., 2024","MICCAI, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.05683 | GitHub:https://github.com/nainye/RadiomicsFill,（README未提供，详见论文）
生成,Image Generation,Diffusion as Sound Propagation: Physics-inspired Model for Ultrasound Image Generation,"Marina Domínguez, Yordanka Velikova, Nassir Navab, Mohammad Farid Azampour","7th Jul., 2024","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control Journal, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2407.05428 | GitHub:https://github.com/yuan-12138/Synomaly,（README未提供，详见论文）
生成,Image Generation,Deep learning for automated detection of breast cancer in deep ultraviolet fluorescence images with diffusion probabilistic model,"Sepehr Salem Ghahfarokhi, Tyrell To, Julie Jorns, Tina Yen, Bing Yu, Dong Hye Ye","1st Jul., 2024","ISBI, 2024","DDPM类, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2407.00967,（README未提供，详见论文）
生成,Image Generation,From Majority to Minority: A Diffusion-based Augmentation for Underrepresented Groups in Skin Lesion Analysis,"Janet Wang, Yunsung Chung, Zhengming Ding, Jihun Hamm","26th Jun., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2406.18375,（README未提供，详见论文）
生成,Image Generation,Towards Synchronous Memorizability and Generalizability with Site-Modulated Diffusion Replay for Cross-Site Continual Segmentation,"Dunyuan Xu, Xi Wang, Jingyang Zhang, Pheng-Ann Heng","25th Jun., 2024","arXiv, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2406.18037 | GitHub:https://github.com/dyxu-cuhkcse/SMG-Learning,（README未提供，详见论文）
生成,Image Generation,Test-Time Generative Augmentation for Medical Image Segmentation,"Xiao Ma, Yuhui Tao, Yuhan Zhang, Zexuan Ji, Yizhe Zhang, Qiang Chen","25th Jun., 2024","arXiv, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2406.17608 | GitHub:https://github.com/maxiao0234/TTGA,（README未提供，详见论文）
生成,Image Generation,X-ray2CTPA: Generating 3D CTPA scans from 2D X-ray conditioning,"Noa Cahan, Eyal Klang, Galit Aviram, Yiftach Barash, Eli Konen, Raja Giryes, Hayit Greenspan","23rd Jun., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2406.16109 | GitHub:https://github.com/NoaCahan/X-ray2CTPA,（README未提供，详见论文）
生成,Image Generation,Image Distillation for Safe Data Sharing in Histopathology,"Zhe Li, Bernhard Kainz","19th Jun., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2406.13536 | GitHub:https://github.com/ZheLi2020/InfoDist,（README未提供，详见论文）
生成,Image Generation,3D MRI Synthesis with Slice-Based Latent Diffusion Models: Improving Tumor Segmentation Tasks in Data-Scarce Regimes,"Aghiles Kebaili, Jérôme Lapuyade-Lahorgue, Pierre Vera, Su Ruan","8th Jun., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",分割,Paper:https://arxiv.org/abs/2406.05421 | GitHub:https://github.com/Arksyd96/synthesis-with-slice-based-ldm,（README未提供，详见论文）
生成,Image Generation,U-KAN Makes Strong Backbone for Medical Image Segmentation and Generation,"Chenxin Li, Xinyu Liu, Wuyang Li, Cheng Wang, Hengyu Liu, Yixuan Yuan","5th Jun, 2024","arXiv, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2406.02918 | GitHub:https://github.com/CUHK-AIM-Group/U-KAN | Website:https://yes-ukan.github.io/,（README未提供，详见论文）
生成,Image Generation,EchoNet-Synthetic: Privacy-preserving Video Generation for Safe Medical Data Sharing,"Hadrien Reynaud, Qingjie Meng, Mischa Dombrowski, Arijit Ghosh, Thomas Day, Alberto Gomez, Paul Leeson, Bernhard Kainz","2nd Jun, 2024","MICCAI, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2406.00808 | GitHub:https://github.com/HReynaud/EchoNet-Synthetic,（README未提供，详见论文）
生成,Image Generation,Unsupervised Contrastive Analysis for Salient Pattern Detection using Conditional Diffusion Models,"Cristiano Patrício, Carlo Alberto Barbano, Attilio Fiandrotti, Riccardo Renzulli, Marco Grangetto, Luis F. Teixeira, João C. Neves","2nd Jun, 2024","arXiv, 2024","条件扩散, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2406.00772 | GitHub:https://github.com/CristianoPatricio/unsupervised-contrastive-cond-diff,（README未提供，详见论文）
生成,Image Generation,GenMix: Combining Generative and Mixture Data Augmentation for Medical Image Classification,"Hansang Lee, Haeil Lee, Helen Hong","31st May, 2024","arXiv, 2024",通用/未明确,分类,Paper:https://arxiv.org/abs/2405.20650,（README未提供，详见论文）
生成,Image Generation,Memory-efficient High-resolution OCT Volume Synthesis with Cascaded Amortized Latent Diffusion Models,"Kun Huang, Xiao Ma, Yuhan Zhang, Na Su, Songtao Yuan, Yong Liu, Qiang Chen, Huazhu Fu","26th May, 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2405.16516 | GitHub:https://github.com/nicetomeetu21/ca-ldm,（README未提供，详见论文）
生成,Image Generation,MediSyn: Text-Guided Diffusion Models for Broad Medical 2D and 3D Image Synthesis,"Joseph Cho, Cyril Zakka, Rohan Shad, Ross Wightman, Akshay Chaudhari, William Hiesinger","16th May, 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2405.09806,（README未提供，详见论文）
生成,Image Generation,VM-DDPM: Vision Mamba Diffusion for Medical Image Synthesis,"Zhihan Ju, Wanting Zhou","09th May, 2024","arXiv, 2024",DDPM类,未归纳,Paper:http://arxiv.org/abs/2405.05667v1,（README未提供，详见论文）
生成,Image Generation,Long Tail Image Generation Through Feature Space Augmentation and Iterated Learning,"Rafael Elberg, Denis Parra, Mircea Petrache","2nd May, 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2405.01705 | GitHub:https://github.com/SugarFreeManatee/Feature-Space-Augmentation-and-Iterated-Learning,（README未提供，详见论文）
生成,Image Generation,Generating Counterfactual Trajectories with Latent Diffusion Models for Concept Discovery,"Payal Varshney, Adriano Lucieri, Christoph Balada, Andreas Dengel, Sheraz Ahmed","16th Apr., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",伪健康/反事实重建以显著化异常,Paper:https://arxiv.org/abs/2404.10356,（README未提供，详见论文）
生成,Image Generation,MaSkel: A Model for Human Whole-body X-rays Generation from Human Masking Images,"Yingjie Xi, Boyuan Cheng, Jingyao Cai, Jian Jun Zhang, Xiaosong Yang","13th Apr., 2024","arXiv, 2024",掩码/Masked机制,未归纳,Paper:https://arxiv.org/abs/2404.09000 | GitHub:https://github.com/2022yingjie/MaSkel,（README未提供，详见论文）
生成,Image Generation,Segmentation-Guided Knee Radiograph Generation using Conditional Diffusion Models,"Siyuan Mei, Fuxin Fan, Fabian Wagner, Mareike Thies, Mingxuan Gu, Yipeng Sun, Andreas Maier","4th Apr., 2024","arXiv, 2024","条件扩散, 扩散ODE",分割,Paper:https://arxiv.org/abs/2404.03541,（README未提供，详见论文）
生成,Image Generation,Debiasing Cardiac Imaging with Controlled Latent Diffusion Models,"Grzegorz Skorupko, Richard Osuala, Zuzanna Szafranowska, Kaisar Kushibar, Nay Aung, Steffen E Petersen, Karim Lekadir, Polyxeni Gkontra","28th Mar., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2403.19508 | Github:https://github.com/faildeny/debiasing-cardiac-mri,（README未提供，详见论文）
生成,Image Generation,Vision-Language Synthetic Data Enhances Echocardiography Downstream Tasks,"Pooria Ashrafian, Milad Yazdani, Moein Heidari, Dena Shahriari, Ilker Hacihaliloglu","28th Mar., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2403.19880 | Github:https://github.com/Pooria90/DiffEcho,（README未提供，详见论文）
生成,Image Generation,CT Synthesis with Conditional Diffusion Models for Abdominal Lymph Node Segmentation,"Yongrui Yu, Hanyu Chen, Zitian Zhang, Qiong Xiao, Wenhui Lei, Linrui Dai, Yu Fu, Hui Tan, Guan Wang, Peng Gao, Xiaofan Zhang","26th Mar., 2024","arXiv, 2024","条件扩散, 扩散ODE",分割,Paper:https://arxiv.org/abs/2403.17770,（README未提供，详见论文）
生成,Image Generation,"Paired Diffusion: Generation of related, synthetic PET-CT-Segmentation scans using Linked Denoising Diffusion Probabilistic Models","Rowan Bradbury, Katherine A. Vallis, Bartlomiej W. Papiez","26th Mar., 2024","arXiv, 2024","DDPM类, 扩散ODE",分割,Paper:https://arxiv.org/abs/2403.17734,（README未提供，详见论文）
生成,Image Generation,MEDDAP: Medical Dataset Enhancement via Diversified Augmentation Pipeline,"Yasamin Medghalchi, Niloufar Zakariaei, Arman Rahmim, Ilker Hacihaliloglu","25th Mar., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2403.16335 | Github:https://github.com/yasamin-med/MEDDAP,（README未提供，详见论文）
生成,Image Generation,LeFusion: Synthesizing Myocardial Pathology on Cardiac MRI via Lesion-Focus Diffusion Models,"Hantao Zhang, Jiancheng Yang, Shouhong Wan, Pascal Fua","21st Mar., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2403.14066 | Github:https://github.com/M3DV/LeFusion,（README未提供，详见论文）
生成,Image Generation,Generative Enhancement for 3D Medical Images,"Lingting Zhu, Noel Codella, Dongdong Chen, Zhenchao Jin, Lu Yuan, Lequan Yu","14th Mar., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2403.12852 | Github:https://github.com/HKU-MedAI/GEM-3D,（README未提供，详见论文）
生成,Image Generation,XReal: Realistic Anatomy and Pathology-Aware X-ray Generation via Controllable Diffusion Model,"Anees Ur Rehman Hashmi, Ibrahim Almakky, Mohammad Areeb Qazi, Santosh Sanjeev, Vijay Ram Papineni, Dwarikanath Mahapatra, Mohammad Yaqub","14th Mar., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2403.09240 | Github:https://github.com/BioMedIA-MBZUAI/XReal,（README未提供，详见论文）
生成,Image Generation,TrIND: Representing Anatomical Trees by Denoising Diffusion of Implicit Neural Fields,"Ashish Sinha, Ghassan Hamarneh","13th Mar., 2024","MICCAI, 2024",DDPM类,去噪,Paper:https://arxiv.org/abs/2403.08974 | Github:https://github.com/sinashish/TreeDiffusion,（README未提供，详见论文）
生成,Image Generation,Representing Anatomical Trees by Denoising Diffusion of Implicit Neural Fields,"Ashish Sinha, Ghassan Hamarneh","13th Mar., 2024","arXiv, 2024",DDPM类,去噪,Paper:https://arxiv.org/abs/2403.08974 | Github:https://github.com/sinashish/TreeDiffusion,（README未提供，详见论文）
生成,Image Generation,Federated Data Model,"Xiao Chen, Shunan Zhang, Eric Z. Chen, Yikang Liu, Lin Zhao, Terrence Chen, Shanhui Sun","13th Mar., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2403.08887,（README未提供，详见论文）
生成,Image Generation,GuideGen: A Text-Guided Framework for Full-torso Anatomy and CT Volume Generation,"Linrui Dai, Rongzhao Zhang, Yongrui Yu, Xiaofan Zhang","12th Mar., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2403.07247v2,（README未提供，详见论文）
生成,Image Generation,A Domain Translation Framework with an Adversarial Denoising Diffusion Model to Generate Synthetic Datasets of Echocardiography Images,"Cristiana Tiago, Sten Roar Snare, Jurica Sprem, Kristin McLeod","7th Mar., 2024","arXiv, 2024","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2403.04612,（README未提供，详见论文）
生成,Image Generation,MedM2G: Unifying Medical Multi-Modal Generation via Cross-Guided Diffusion with Visual Invariant,"Chenlu Zhan, Yu Lin, Gaoang Wang, Hongwei Wang, Jian Wu","7th Mar., 2024","CVPR, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2403.04290,（README未提供，详见论文）
生成,Image Generation,An Ordinal Diffusion Model for Generating Medical Images with Different Severity Levels,"Shumpei Takezaki, Seiichi Uchida","1st Mar., 2024","ISBI, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2403.00452,（README未提供，详见论文）
生成,Image Generation,Structure Preserving Diffusion Models,"Haoye Lu, Spencer Szabados, Yaoliang Yu","29th Feb., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2402.19369v2,（README未提供，详见论文）
生成,Image Generation,Towards Generalizable Tumor Synthesis,"Qi Chen, Xiaoxi Chen, Haorui Song, Zhiwei Xiong, Alan Yuille, Chen Wei, Zongwei Zhou","29th Feb., 2024","CVPR, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2402.19470 | Github:https://github.com/MrGiovanni/DiffTumor,（README未提供，详见论文）
生成,Image Generation,WDM: 3D Wavelet Diffusion Models for High-Resolution Medical Image Synthesis,"Paul Friedrich, Julia Wolleb, Florentin Bieder, Alicia Durrer, Philippe C. Cattin","29th Feb., 2024","DGM4MICCAI, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2402.19043 | Github:https://github.com/pfriedri/wdm-3d | Project Page:https://pfriedri.github.io/wdm-3d-io/,（README未提供，详见论文）
生成,Image Generation,Anatomically-Controllable Medical Image Generation with Segmentation-Guided Diffusion Models,"Nicholas Konz, Yuwen Chen, Haoyu Dong, Maciej A. Mazurowski","7th Feb., 2024","arXiv, 2024",扩散ODE,分割,Paper:https://arxiv.org/abs/2402.05210,（README未提供，详见论文）
生成,Image Generation,SynthVision -- Harnessing Minimal Input for Maximal Output in Computer Vision Models using Synthetic Image data,"Yudara Kularathne, Prathapa Janitha, Sithira Ambepitiya, Thanveer Ahamed, Dinuka Wijesundara, Prarththanan Sothyrajah","5th Jan., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2402.02826,（README未提供，详见论文）
生成,Image Generation,DDPM based X-ray Image Synthesizer,"Praveen Mahaulpatha, Thulana Abeywardane, Tomson George","3rd Jan., 2024","arXiv, 2024",DDPM类,未归纳,Paper:https://arxiv.org/abs/2401.01539,（README未提供，详见论文）
生成,Image Generation,Fast Diffusion-Based Counterfactuals for Shortcut Removal and Generation,"Nina Weng, Paraskevas Pegios, Aasa Feragen, Eike Petersen, Siavash Bigdeli","21st Dec., 2023","arXiv, 2023",通用/未明确,伪健康/反事实重建以显著化异常,Paper:https://arxiv.org/abs/2312.14223,（README未提供，详见论文）
生成,Image Generation,On the existence of optimal multi-valued decoders and their accuracy bounds for undersampled inverse problems,"Fangxin Shang, Jie Fu, Yehui Yang, Haifeng Huang, Junwei Liu, Lei Ma","1st Dec., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2312.00377 | Github:https://github.com/parap1uie-s/SynFundus-1M,（README未提供，详见论文）
生成,Image Generation,Federated Learning with Diffusion Models for Privacy-Sensitive Vision Tasks,"Ye Lin Tun, Chu Myaet Thwal, Ji Su Yoon, Sun Moo Kang, Chaoning Zhang, Choong Seon Hong","28th Nov., 2023","arXiv, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2311.16538,（README未提供，详见论文）
